Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
alovoa,com.nonononoki.alovoa,ToolsTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
alovoa,com.nonononoki.alovoa,ToolsTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.DistanceUtils.calcDistanceKm; com.nonononoki.alovoa.Tools.isTextContainingLineFromFile
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
alovoa,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.DateUtils.localDateToDate; com.nonononoki.alovoa.Tools.usersCompatible; com.nonononoki.alovoa.entity.User.setPreferedMinAge; com.nonononoki.alovoa.entity.User.setPreferedMaxAge
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
alovoa,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.entity.User.getPreferedMaxAge; com.nonononoki.alovoa.DateUtils.localDateToDate; com.nonononoki.alovoa.entity.User.getPreferedMinAge; com.nonononoki.alovoa.entity.User.setPreferedMinAge; com.nonononoki.alovoa.entity.User.setPreferedMaxAge
alovoa,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
alovoa,com.nonononoki.alovoa.html,PrivacyResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,DonateListResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,UserProfileResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,MessageResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,ImprintResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,PasswordResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,BlockedUsersResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,TermsConditionsResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,DonateResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.html,LoginResourceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
