Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
a3,com.nonononoki.alovoa,ToolsTest,test,Magic Number,The method contains a magic number: 0.45,19
a3,com.nonononoki.alovoa,ToolsTest,test,Magic Number,The method contains a magic number: 50,19
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 19,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 19,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 21,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 20,37
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,Magic Number,The method contains a magic number: 16,37
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 20,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 18,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 45,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 18,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 45,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 21,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 19,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 46,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 25,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 55,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 25,98
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,Magic Number,The method contains a magic number: 55,98
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 1230000000,124
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 12340000,124
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 1000,124
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,Magic Number,The method contains a magic number: 123,124
a3,com.nonononoki.alovoa,Tools,getDistanceToUser,Long Statement,The length of the statement "return calcDistanceKm(user.getLocationLatitude()`user.getLocationLongitude()`currUser.getLocationLatitude()`currUser.getLocationLongitude());" is 141.,146
