Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
a3,com.nonononoki.alovoa,ToolsTest,test,7,1,0,19,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,47,1,0,37,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools; com.nonononoki.alovoa.entity.User
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,17,1,0,98,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools; com.nonononoki.alovoa.entity.User
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,6,1,0,124,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,AlovoaApplication,main,4,1,1,21,0,,
a3,com.nonononoki.alovoa,Tools,Tools,3,1,0,29,0,,
a3,com.nonononoki.alovoa,Tools,cleanEmail,10,3,1,60,0,,
a3,com.nonononoki.alovoa,Tools,getUserLocale,9,2,1,71,0,,
a3,com.nonononoki.alovoa,Tools,ageToDate,5,1,1,80,0,,
a3,com.nonononoki.alovoa,Tools,localDateToDate,3,1,1,86,0,,
a3,com.nonononoki.alovoa,Tools,dateToLocalDate,3,1,1,90,0,,
a3,com.nonononoki.alovoa,Tools,dateToLocalDateTime,3,1,1,94,0,,
a3,com.nonononoki.alovoa,Tools,calcUserAge,4,1,1,98,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,calcUserAge,4,1,1,103,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,inputStreamToString,3,1,1,108,0,,
a3,com.nonononoki.alovoa,Tools,getResourceText,4,1,1,112,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,resourceToB64,5,1,1,117,0,,
a3,com.nonononoki.alovoa,Tools,imageToB64,4,1,2,123,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,isTextContainingLineFromFile,10,3,2,128,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,binaryStringToBoolean,3,1,1,141,0,,
a3,com.nonononoki.alovoa,Tools,getDistanceToUser,8,1,2,146,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,getBase64Size,14,4,1,157,0,,
