Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
a3,com.nonononoki.alovoa,ToolsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nonononoki.alovoa.entity.User
a3,com.nonononoki.alovoa,Tools,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BASE64FACTOR; MILLION; THOUSAND; B64IMAGEPREFIX; B64AUDIOPREFIX; B64PREFIX; TEST; PROD; DEV; MAIL_TEST_DOMAIN; MAIL_GMAIL_DOMAIN; TEMP_EMAIL_FILE_NAME; AGE_LEGAL; GENDER_MALE_ID; GENDER_FEMALE_ID; GENDER_OTHER_ID; REFERRED_AMOUNT; AVERAGE_RADIUS_OF_EARTH_KM
a3,com.nonononoki.alovoa,Tools,Law of Demeter violation,The tool detected the smell in this method (getAuthParams) because the method voilates the law of Demeter. The long chain of method invocations is : com.nonononoki.alovoa.component.CustomTokenBasedRememberMeServices.getRememberMeCookieData; com.nonononoki.alovoa.config.SecurityConfig.getOAuthRememberMeServices
a3,com.nonononoki.alovoa.html,UserProfileResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
a3,com.nonononoki.alovoa.html,MessageResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
a3,com.nonononoki.alovoa.html,PasswordResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
a3,com.nonononoki.alovoa.html,BlockedUsersResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
a3,com.nonononoki.alovoa.html,DonateResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
a3,com.nonononoki.alovoa.html,SearchResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
a3,com.nonononoki.alovoa.html,NotificationResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
a3,com.nonononoki.alovoa.html,ProfileResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
