Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
a3,com.nonononoki.alovoa,ToolsTest,0,0,4,0,79,4,0,0,-1.0,0,5,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/ToolsTest.java,17
a3,com.nonononoki.alovoa,AlovoaApplication,0,0,1,1,6,1,0,0,-1.0,0,0,/Users/stellawu/Desktop/a3/alovoa/src/main/java/com/nonononoki/alovoa/AlovoaApplication.java,14
a3,com.nonononoki.alovoa,Tools,23,18,26,25,192,40,0,0,0.6153846153846154,26,3,/Users/stellawu/Desktop/a3/alovoa/src/main/java/com/nonononoki/alovoa/Tools.java,27
a3,com.nonononoki.alovoa.util,AuthTestUtil,0,0,2,2,19,2,0,0,-1.0,1,1,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/util/AuthTestUtil.java,13
a3,com.nonononoki.alovoa.runner,TextEncryptorConverterTest,3,0,2,2,15,2,0,0,0.0,0,1,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/runner/TextEncryptorConverterTest.java,21
a3,com.nonononoki.alovoa.html,PrivacyResourceTest,1,0,1,0,6,1,0,0,0.0,0,1,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/PrivacyResourceTest.java,9
a3,com.nonononoki.alovoa.html,DonateListResourceTest,1,0,1,0,6,1,0,0,0.0,0,1,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/DonateListResourceTest.java,9
a3,com.nonononoki.alovoa.html,UserProfileResourceTest,12,0,3,0,38,3,0,0,0.0,0,12,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/UserProfileResourceTest.java,36
a3,com.nonononoki.alovoa.html,MessageResourceTest,11,0,3,0,44,3,0,0,0.0,0,12,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/MessageResourceTest.java,32
a3,com.nonononoki.alovoa.html,ImprintResourceTest,1,0,1,0,6,1,0,0,0.0,0,1,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/ImprintResourceTest.java,9
a3,com.nonononoki.alovoa.html,PasswordResourceTest,11,0,3,0,26,3,0,0,0.0,0,9,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/PasswordResourceTest.java,28
a3,com.nonononoki.alovoa.html,BlockedUsersResourceTest,11,0,3,0,33,3,0,0,0.0,0,11,/Users/stellawu/Desktop/a3/alovoa/src/test/java/com/nonononoki/alovoa/html/BlockedUsersResourceTest.java,30
